date,home_team,away_team,home_elo_before,away_elo_before,outcome,tournament
2016-07-07,France,Germany,1547.8814476380508,1631.0723918877034,home_win,UEFA Euro
2016-07-10,France,Portugal,1578.7556818332407,1533.0133222947563,away_win,UEFA Euro
2016-07-24,Uzbekistan,Iraq,1481.7520588001053,1451.0859870625716,home_win,Friendly
2016-08-08,Qatar,Iraq,1511.0570261383066,1441.9663425955432,home_win,Friendly
2016-08-18,Jordan,Qatar,1411.154826839726,1519.0942411662986,away_win,Friendly
2016-09-01,Ecuador,Brazil,1521.5907254445806,1579.0290007545918,away_win,FIFA World Cup qualification
2016-09-01,Belgium,Spain,1606.595934302059,1524.9997475228754,away_win,Friendly
2016-09-01,IR Iran,Qatar,1494.986331447916,1526.0837342773539,home_win,FIFA World Cup qualification
2016-09-01,Argentina,Uruguay,1632.4166732506767,1491.4297741897894,home_win,FIFA World Cup qualification
2016-09-01,Australia,Iraq,1423.0926284208888,1433.9291275675512,home_win,FIFA World Cup qualification
2016-09-04,Norway,Germany,1463.1718575170025,1600.1981576925134,away_win,FIFA World Cup qualification
2016-09-05,Croatia,Türkiye,1483.8528327078168,1507.1861604121123,draw,FIFA World Cup qualification
2016-09-06,Brazil,Colombia,1595.7523845668675,1621.236396297686,home_win,FIFA World Cup qualification
2016-09-06,Iraq,Saudi Arabia,1413.3055307339419,1449.0232106430767,away_win,FIFA World Cup qualification
2016-09-06,Qatar,Uzbekistan,1504.2983889372522,1490.8717032671336,away_win,FIFA World Cup qualification
2016-09-06,South Africa,Egypt,1463.1480147014806,1434.2375185210533,home_win,Friendly
2016-09-06,Sweden,Netherlands,1451.9488575465311,1536.5294354822502,draw,FIFA World Cup qualification
2016-09-06,Switzerland,Portugal,1448.0030537488656,1561.285863164068,home_win,FIFA World Cup qualification
2016-09-06,Uruguay,Paraguay,1479.127667474441,1445.9077061032717,home_win,FIFA World Cup qualification
2016-10-06,Uzbekistan,IR Iran,1511.6442208915291,1516.7716767880177,away_win,FIFA World Cup qualification
2016-10-06,Saudi Arabia,Australia,1466.9743485049669,1443.716225254498,draw,FIFA World Cup qualification
2016-10-06,Korea Republic,Qatar,1491.6035004855012,1483.5258713128567,home_win,FIFA World Cup qualification
